n;find_time;find_cmp;
10;3.68E-5;66;
20;8.9E-6;19;
30;5.6E-6;12;
40;4.6E-6;9;
50;8.1E-6;15;
60;5.1E-6;9;
70;4.7E-6;9;
80;8.8E-6;21;
90;1.16E-5;18;
100;1.45E-5;18;
110;7.9E-6;18;
120;1.25E-5;21;
130;4.8E-6;12;
140;7.3E-6;9;
150;8.2E-6;30;
160;2.8E-5;15;
170;1.45E-5;30;
180;1.57E-5;12;
190;1.28E-5;9;
200;7.5E-6;12;
210;9.6E-6;12;
220;8.9E-6;12;
230;7.4E-6;12;
240;7.8E-6;24;
250;7.8E-6;24;
260;1.1E-5;15;
270;1.33E-5;15;
280;1.38E-5;27;
290;1.43E-5;15;
300;8.3E-6;9;
310;8.8E-6;18;
320;7.6E-6;15;
330;7.6E-6;15;
340;7.8E-6;12;
350;8.3E-6;12;
360;1.14E-5;18;
370;3.39E-5;15;
380;7.7E-6;12;
390;8.4E-6;15;
400;7.1E-6;18;
410;7.0E-6;18;
420;2.52E-5;27;
430;1.39E-5;18;
440;1.73E-5;27;
450;4.24E-5;15;
460;1.47E-5;21;
470;9.6E-6;12;
480;6.9E-6;18;
490;6.7E-6;18;
500;1.12E-5;24;
510;1.32E-5;18;
520;3.32E-5;9;
530;8.7E-6;9;
540;7.7E-6;12;
550;3.81E-5;12;
560;8.1E-6;12;
570;7.1E-6;24;
580;1.34E-5;36;
590;1.18E-5;12;
600;1.38E-5;9;
610;4.04E-5;15;
620;9.9E-6;21;
630;9.6E-6;15;
640;7.6E-6;12;
650;2.86E-5;15;
660;1.78E-5;18;
670;1.66E-5;12;
680;8.7E-6;18;
690;1.08E-5;15;
700;1.26E-5;15;
710;2.03E-5;24;
720;1.25E-5;27;
730;1.61E-5;18;
740;1.22E-5;18;
750;8.1E-6;18;
760;2.42E-5;9;
770;1.46E-5;9;
780;2.54E-5;24;
790;9.5E-6;9;
800;1.13E-5;15;
810;1.71E-5;15;
820;1.5E-5;21;
830;2.16E-5;12;
840;3.0E-5;21;
850;1.14E-5;18;
860;7.9E-6;15;
870;5.29E-5;15;
880;3.33E-5;18;
890;6.4E-6;27;
900;5.81E-5;9;
910;3.14E-5;24;
920;9.7E-6;27;
930;9.5E-6;15;
940;1.06E-5;30;
950;1.06E-5;21;
960;2.78E-5;12;
970;9.8E-6;18;
980;8.4E-6;9;
990;8.2E-6;18;
1000;8.5E-6;24;
